CID,NDVI,LST
2,0.156983,52.0079002
2,0.233722,51.5122986
2,0.186338,50.7602997
2,0.212855,47.3628006
2,0.242019,48.9384995
2,0.183964,51.4234009
2,0.255685,43.3260994
2,0.227417,49.2700996
2,0.2125,51.2047005
2,0.20521,50.4253998
2,0.191819,51.6694984
2,0.243864,47.0689011
2,0.13382,47.3115997
3,0.245659,44.4301987
3,0.242337,46.5663986
3,0.263732,43.9858017
3,0.274768,41.1113014
3,0.258477,44.6283989
3,0.290535,42.8544998
3,0.248255,46.4947014
3,0.250502,44.6591988
3,0.271655,48.3027992
3,0.247706,44.8848
3,0.245312,43.4970016
3,0.220961,42.5467987
3,0.249958,44.9429016
4,0.270093,49.6255989
4,0.144521,55.144001
4,0.247482,49.468399
4,0.199272,52.7257004
0,0.0448515,45.361599
0,-0.0057796,38.0354996
0,0.0206903,38.0354996
0,-0.0196306,38.0354996
0,-0.0129544,38.0354996
0,-0.0210655,38.0354996
0,-0.0303312,38.0354996
0,0.198339,44.5293007
0,-0.0027936,38.0354996
0,0.126765,41.2514
0,-0.0098217,38.0354996
0,-0.0197682,38.0354996
0,-0.0109002,38.0354996
0,0.101268,43.7089996
0,-0.0108662,38.0354996
0,-0.019515,39.2536011
0,0.03449,45.5444984
0,-0.0115115,38.0354996
0,-0.0053991,38.3030014
0,0.177096,43.592701
0,-0.0185329,38.0354996
0,0.110472,43.2132988
0,-0.0249767,38.0354996
0,-0.0618397,38.6007004
0,0.0554,42.8134003
0,-0.0165808,38.3030014
0,-0.0320612,43.2937012
0,-0.0428244,38.6399994
0,0.0133731,43.3757019
0,-0.011065,38.0354996
0,0.0602073,38.0354996
0,-0.0072322,38.0354996
0,0.0453707,43.6509018
0,0.273223,42.7280006
0,-0.0003247,38.0354996
0,-0.0092904,38.0354996
