LULC,n,pearson_cor,pearson_p,spearman_cor,spearman_p
water,299,0.504565011712553,1.0213470764141731e-20,0.5427553682346145,2.6385433698425624e-24
builtup,297,-0.48416908487743765,7.339179026739874e-19,-0.5159770024518969,1.3182089502575441e-21
barren,297,-0.43197048578818487,6.237816375009276e-15,-0.5065405001884354,9.218834986678443e-21
forest,297,-0.010999567288737055,0.8502735188678058,0.028254889707846082,0.6276909432343936
agriculture,299,-0.7991668806444573,1.2909158793420354e-67,-0.8138448721679711,5.40102722616092e-72
