LULC,intercept,slope,r2,p_value
water,39.03975256291273,18.324669211372232,0.2545858510444872,1.0213470764143145e-20
builtup,54.15893842672965,-25.970429756663933,0.23441970275105534,7.339179026740301e-19
barren,57.61571025244666,-43.19384551087149,0.18659850059208086,6.2378163750101455e-15
forest,43.6565653059928,-1.071565926768637,1.2099048053944964e-4,0.8502735188678046
agriculture,61.38573777760278,-47.98483959238609,0.6386677031189923,1.2909158793420354e-67
