LULC,n,NDVI_mean,NDVI_sd,NDVI_median,NDVI_IQR,NDVI_min,NDVI_max,LST_mean,LST_sd,LST_median,LST_IQR,LST_min,LST_max
water,299,0.03769709030100334,0.08573420205775723,-0.0014551,0.09974395,-0.142288,0.335307,39.7305392729097,3.1136738702452136,38.3030014,3.5150012499999974,33.4199982,55.3130989
builtup,297,0.20276672794612793,0.06687733057530715,0.206702,0.085391,0.0246787,0.393164,48.89299936161616,3.587244766895573,49.1197014,4.802299500000004,38.3188019,59.1446991
barren,297,0.21439431582491583,0.037155773148346734,0.213721,0.043715000000000004,0.0771038,0.393709,48.355195296296294,3.7153018041923347,48.5009995,4.8484993,22.3400002,58.7961006
forest,297,0.25058103367003365,0.02816302218381205,0.247178,0.03228000000000003,0.158925,0.344528,43.38805120841751,2.7436111053116723,43.4115982,3.8485984,34.9758987,52.0694008
agriculture,299,0.20992978160535117,0.07972616182953723,0.196002,0.10124900000000003,0.0478403,0.541986,51.31229088160535,4.787044082234634,51.6489983,6.675399800000008,38.9135017,64.0358963
