LULC,NDVI.trend,SE,df,lower.CL,upper.CL
water,18.32466921137252,2.0100081603772404,1479,14.381899021013645,22.267439401731394
builtup,-25.970429756664206,2.5854448450626926,1479,-31.041958850365507,-20.898900662962905
barren,-43.19384551087282,4.653587718310619,1479,-52.32218005978913,-34.065510961956505
forest,-1.0715659267684323,6.139527514446518,1479,-13.114674280271187,10.971542426734322
agriculture,-47.98483959238703,2.161479266090529,1479,-52.2247308452768,-43.74494833949726
